mode,first_move,depth,first_time,second_time,first_moves,second_moves,heuristic,first_points,second_points
alfabeta,4,3,12.000899999989656,13.185799999973824,13,13,Most, 18, 30
alfabeta,5,3,7.155799999992496,17.09499999999764,15,19,Most, 15, 33
alfabeta,6,3,25.484500000004573,15.159500000009984,16,19,Most, 27, 21
alfabeta,1,3,24.69730000002812,60.08499999997241,18,31,Points, 19, 29
alfabeta,2,3,15.694000000053165,56.901099999947746,18,30,Points, 20, 28
alfabeta,3,3,46.240000000011605,18.35510000000795,24,18,Points, 29, 19
alfabeta,4,3,19.542299999926627,38.00339999995117,17,28,Points, 15, 33
alfabeta,5,3,28.534500000034768,92.09189999998557,14,23,Points, 13, 35
alfabeta,6,3,55.666300000012825,11.600400000048694,23,12,Points, 34, 14
alfabeta,1,3,15.171400000042468,19.79400000016085,46,51,Far, 24, 24
alfabeta,2,3,23.362600000069733,23.349299999978257,28,32,Far, 16, 32
alfabeta,3,3,20.040700000038214,26.907199999982367,41,41,Far, 26, 22
alfabeta,4,3,26.575499999978547,32.49849999997423,41,39,Far, 15, 33
alfabeta,5,3,24.659299999967743,36.7819999999881,39,43,Far, 20, 28
alfabeta,6,3,17.306000000132826,22.32069999996611,38,36,Far, 19, 29
minmax,1,4,8.8279,27.254899999974214,6,5,Steal, 12, 36
minmax,2,4,21.726399999977275,19.575800000012578,6,6,Steal, 35, 13
minmax,3,4,27.72149999998419,17.30469999995421,7,5,Steal, 44, 4
minmax,4,4,29.488900000103513,76.25449999989087,6,7,Steal, 35, 13
minmax,5,4,34.90369999997256,166.21829999991178,9,12,Steal, 13, 35
minmax,6,4,79.27720000009231,142.767499999934,15,10,Steal, 34, 14
minmax,1,4,92.84050000002253,241.06440000008433,10,21,Most, 15, 33
minmax,2,4,61.22329999993781,272.5787000000537,9,17,Most, 22, 26
minmax,3,4,232.22379999987197,380.3151000000753,18,12,Most, 29, 19
minmax,4,4,322.31570000016063,645.2977000000146,13,13,Most, 18, 30
minmax,5,4,179.47060000005877,539.9229000000219,15,19,Most, 15, 33
minmax,6,4,522.162999999864,321.8520000002627,16,19,Most, 27, 21
minmax,1,4,419.59730000019135,378.11950000002525,23,28,Points, 23, 25
minmax,2,4,265.68319999978485,395.20229999993717,16,24,Points, 17, 31
minmax,3,4,645.1934999997775,367.94110000016644,32,20,Points, 32, 16
minmax,4,4,793.630500000063,751.8136000003324,19,19,Points, 16, 32
minmax,5,4,344.1102000002729,679.8817999999756,17,20,Points, 26, 22
minmax,6,4,631.4952000003586,440.59589999972104,26,13,Points, 34, 14
minmax,1,4,460.0343999998131,399.5208999999704,29,27,Far, 32, 16
minmax,2,4,986.1078999992969,714.9821000004977,30,31,Far, 15, 33
minmax,3,4,466.35200000014265,752.9721999997037,32,33,Far, 30, 18
minmax,4,4,1095.9082000001672,542.0667999997022,29,26,Far, 26, 22
minmax,5,4,416.6614999999183,570.6248999995296,31,28,Far, 27, 21
minmax,6,4,581.2671999999566,589.9248999996871,32,27,Far, 28, 20
alfabeta,1,4,1.5137000000322587,3.101099999980761,6,5,Steal, 12, 36
alfabeta,2,4,2.144899999905192,2.7681999999344953,6,6,Steal, 35, 13
alfabeta,3,4,3.629199999920729,2.337899999986348,7,5,Steal, 44, 4
alfabeta,4,4,4.047199999945406,3.4725000000435102,6,7,Steal, 35, 13
alfabeta,5,4,3.4973999999579064,10.948899999846162,9,12,Steal, 13, 35
alfabeta,6,4,14.670700000067427,6.534200000032797,15,10,Steal, 34, 14
alfabeta,1,4,14.679299999897921,35.77930000028573,10,21,Most, 15, 33
alfabeta,2,4,9.284999999977117,25.32950000022538,9,17,Most, 22, 26
alfabeta,3,4,32.00749999996333,31.44960000008723,18,12,Most, 29, 19
alfabeta,4,4,42.035699999814824,70.10960000036448,13,13,Most, 18, 30
alfabeta,5,4,30.05910000001677,55.70229999989351,15,19,Most, 15, 33
alfabeta,6,4,75.94520000009197,52.067600000100356,16,19,Most, 27, 21
alfabeta,1,4,91.41049999993811,100.07190000010269,23,28,Points, 23, 25
alfabeta,2,4,55.631399999583664,94.79110000006585,16,24,Points, 17, 31
alfabeta,3,4,183.9778000012302,81.9874000001164,32,20,Points, 32, 16
alfabeta,4,4,128.02749999991647,154.186000000891,19,19,Points, 16, 32
alfabeta,5,4,98.86189999997441,123.33160000002863,17,20,Points, 26, 22
alfabeta,6,4,175.55179999953907,86.47139999970932,26,13,Points, 34, 14
alfabeta,1,4,83.2821999999851,83.35750000037478,29,27,Far, 32, 16
alfabeta,2,4,92.66700000034689,80.46639999997751,30,31,Far, 15, 33
alfabeta,3,4,78.61069999944448,98.63360000099419,32,33,Far, 30, 18
alfabeta,4,4,136.302599999226,73.96890000018175,29,26,Far, 26, 22
alfabeta,5,4,63.31179999961023,117.69049999929848,31,28,Far, 27, 21
alfabeta,6,4,59.872000000041226,86.54059999935271,32,27,Far, 28, 20
