mode;first_move;depth;first_time;second_time;first_moves;second_moves;heuristic;first_points;second_points;winner;winner_time_per_move;winner_moves
alfabeta;2;3;2,56;10,49;9;17;Most Points;22;26;1;0,6168;17
alfabeta;3;3;10,86;8,61;18;12;Most Points;29;19;0;0,603266667;18
alfabeta;4;3;12,00;13,19;13;13;Most Points;18;30;1;1,014292308;13
alfabeta;5;3;7,16;17,09;15;19;Most Points;15;33;1;0,899736842;19
alfabeta;6;3;25,48;15,16;16;19;Most Points;27;21;0;1,59278125;16
alfabeta;1;3;24,70;60,08;18;31;Points Diff;19;29;1;1,938225806;31
alfabeta;2;3;15,69;56,90;18;30;Points Diff;20;28;1;1,896703333;30
alfabeta;3;3;46,24;18,36;24;18;Points Diff;29;19;0;1,926666667;24
alfabeta;4;3;19,54;38,00;17;28;Points Diff;15;33;1;1,357264286;28
alfabeta;5;3;28,53;92,09;14;23;Points Diff;13;35;1;4,003995652;23
alfabeta;6;3;55,67;11,60;23;12;Points Diff;34;14;0;2,420273913;23
alfabeta;1;3;15,17;19,79;46;51;Far From Mancala;24;24;2;0,388117647;0
alfabeta;2;3;23,36;23,35;28;32;Far From Mancala;16;32;1;0;32
alfabeta;3;3;20,04;26,91;41;41;Far From Mancala;26;22;0;0,488797561;41
alfabeta;4;3;26,58;32,50;41;39;Far From Mancala;15;33;1;0,833294872;39
alfabeta;5;3;24,66;36,78;39;43;Far From Mancala;20;28;1;0,855395349;43
alfabeta;6;3;17,31;22,32;38;36;Far From Mancala;19;29;1;0,620019444;36
minmax;1;4;8,83;27,25;6;5;Steal;12;36;1;5,45098;5
minmax;2;4;21,73;19,58;6;6;Steal;35;13;0;3,621066667;6
minmax;3;4;27,72;17,30;7;5;Steal;44;4;0;3,960214286;7
minmax;4;4;29,49;76,25;6;7;Steal;35;13;0;4,914816667;6
minmax;5;4;34,90;166,22;9;12;Steal;13;35;1;13,851525;12
minmax;6;4;79,28;142,77;15;10;Steal;34;14;0;5,285146667;15
minmax;1;4;92,84;241,06;10;21;Most Points;15;33;1;11,47925714;21
minmax;2;4;61,22;272,58;9;17;Most Points;22;26;1;16,03404118;17
minmax;3;4;232,22;380,32;18;12;Most Points;29;19;0;12,90132222;18
minmax;4;4;322,32;645,30;13;13;Most Points;18;30;1;49,63828462;13
minmax;5;4;179,47;539,92;15;19;Most Points;15;33;1;28,41699474;19
minmax;6;4;522,16;321,85;16;19;Most Points;27;21;0;32,6351875;16
minmax;1;4;419,60;378,12;23;28;Points Diff;23;25;1;0;28
minmax;2;4;265,68;395,20;16;24;Points Diff;17;31;1;16,4667625;24
minmax;3;4;645,19;367,94;32;20;Points Diff;32;16;0;20,16229687;32
minmax;4;4;793,63;751,81;19;19;Points Diff;16;32;1;0;19
minmax;5;4;344,11;679,88;17;20;Points Diff;26;22;0;20,24177647;17
minmax;6;4;631,50;440,60;26;13;Points Diff;34;14;0;24,28827692;26
minmax;1;4;460,03;399,52;29;27;Far From Mancala;32;16;0;15,86325517;29
minmax;2;4;986,11;714,98;30;31;Far From Mancala;15;33;1;0;31
minmax;3;4;466,35;752,97;32;33;Far From Mancala;30;18;0;14,5735;32
minmax;4;4;1095,91;542,07;29;26;Far From Mancala;26;22;0;37,78993793;29
minmax;5;4;416,66;570,62;31;28;Far From Mancala;27;21;0;13,44069355;31
minmax;6;4;581,27;589,92;32;27;Far From Mancala;28;20;0;18,1646;32
alfabeta;1;4;1,51;3,10;6;5;Steal;12;36;1;0,62022;5
alfabeta;2;4;2,14;2,77;6;6;Steal;35;13;0;0,357483333;6
alfabeta;3;4;3,63;2,34;7;5;Steal;44;4;0;0,518457143;7
alfabeta;4;4;4,05;3,47;6;7;Steal;35;13;0;0,674533333;6
